borough,crime_rate(per 1000 pop at 2020),resident Income(per week 2018),pollution(PM 2.5 2018),Covid-19_infectionRate
Kingston upon Thames,62.88,576.9,11,51.8
Croydon,85.3,615,11.2,76.8
Bromley,65.78,580.8,10.4,53.6
Hounslow,87.28,693.8,11.4,127.1
Ealing,83.83,588.9,11.6,125.8
Havering,64.84,587.9,11,69
Hillingdon,80.12,613.6,7.1,101
Harrow,62.24,574.9,10.8,99.5
Brent,85.41,583.1,11.6,96.4
Barnet,68.99,580.2,11.2,75.3
Enfield,84.71,574.9,11.6,56.9
Waltham Forest,83.02,577.4,12.6,55.2
Redbridge,75.13,526.4,12.2,75.4
Sutton,62.92,562.7,10.9,85.3
Lambeth,92.7,664,12.2,57.7
Southwark,100.2,751.6,12.2,49.2
Lewisham,88.82,577.9,11.9,42.8
Greenwich,90.02,613.8,10.6,62.5
Bexley,62.48,590.4,11.3,68.1
Richmond upon Thames,61.28,611.5,11.1,55.6
Merton,64.34,581.1,11.8,84.7
Wandsworth,77.01,670.8,11.9,58.5
Hammersmith and Fulham,104.23,754.7,12.2,91.3
Kensington and Chelsea,112.85,605.3,12.5,44.8
City of London,120,1054.1,12.2,58.5
Westminster,192.83,786.1,14.3,47.1
Camden,117.16,741.5,10.7,48.5
Tower Hamlets,99.99,928.2,12.4,54.5
Islington,106.89,750.3,12.5,46.2
Hackney,109.4,632.4,12.4,58.5
Haringey,101.22,599.8,12.1,61.4
Newham,94.34,581.8,13,69.7
Barking and Dagenham,89.73,582,12.5,93.9